checkpoint_id,domain,checkpoint_question,expected_standard,actual_observation,score_0_100,severity_P0_P1_P2_P3,confidence_low_medium_high,evidence_ids,evidence_files,recommendation,fix_effort_XS_S_M_L_XL,business_impact_low_medium_high_critical,risk_if_ignored,visual_change_risk_none_minor_major,blocks_launch_yes_no
CP-06-13,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for image/media handling?","Evidence-backed production readiness for image/media handling, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep image/media handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-14,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for metadata and canonical handling?","Evidence-backed production readiness for metadata and canonical handling, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E011;E017;E018,src/backend/seo/metadata.ts; src/app/(store)/category/[slug]/page.tsx; src/app/(store)/search/page.tsx,Keep metadata and canonical handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-15,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for structured data handling?","Evidence-backed production readiness for structured data handling, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E014;E016;E017,src/backend/seo/structured-data.ts; src/app/(store)/products/[slug]/page.tsx; src/app/(store)/category/[slug]/page.tsx,Keep structured data handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-16,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for sitemap and robots handling?","Evidence-backed production readiness for sitemap and robots handling, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep sitemap and robots handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-17,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for pagination and facets?","Evidence-backed production readiness for pagination and facets, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep pagination and facets under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-18,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for seller ownership?","Evidence-backed production readiness for seller ownership, preserving current visual design unless necessary.","Seller schema exists, but no seller route area was found and product writes are first-party/admin-managed.",45,P1,medium,E031;E026;E003,src/app route scan and README.md; src/backend/admin/product-editor.ts; prisma/schema.prisma,Fix seller ownership before launch or before enabling related feature.,S,medium,Launch risk remains around seller ownership.,minor,no
CP-06-19,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for admin versus super-admin split?","Evidence-backed production readiness for admin versus super-admin split, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep admin versus super-admin split under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-20,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for order payment shipment status?","Evidence-backed production readiness for order payment shipment status, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep order payment shipment status under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-21,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for rate limiting?","Evidence-backed production readiness for rate limiting, preserving current visual design unless necessary.",In-memory route limiter exists but is not distributed.,58,P1,medium,E008,src/backend/security/rate-limit.ts,Fix rate limiting before launch or before enabling related feature.,S,medium,Launch risk remains around rate limiting.,minor,no
CP-06-22,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for CSRF and origin control?","Evidence-backed production readiness for CSRF and origin control, preserving current visual design unless necessary.",No explicit CSRF token or Origin/Referer check found in sampled custom mutation APIs.,55,P1,medium,E060,custom mutation CSRF/origin scan,Fix CSRF and origin control before launch or before enabling related feature.,S,medium,Launch risk remains around CSRF and origin control.,minor,no
CP-06-23,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for secret exposure?","Evidence-backed production readiness for secret exposure, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep secret exposure under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-24,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for console and logging hygiene?","Evidence-backed production readiness for console and logging hygiene, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep console and logging hygiene under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-25,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for type safety?","Evidence-backed production readiness for type safety, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep type safety under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-26,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for duplicate or dead code risk?","Evidence-backed production readiness for duplicate or dead code risk, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep duplicate or dead code risk under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-27,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for README and implementation alignment?","Evidence-backed production readiness for README and implementation alignment, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep README and implementation alignment under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-28,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for accessibility controls?","Evidence-backed production readiness for accessibility controls, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep accessibility controls under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-29,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for mobile layout behavior?","Evidence-backed production readiness for mobile layout behavior, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep mobile layout behavior under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-30,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for Bangladesh localization?","Evidence-backed production readiness for Bangladesh localization, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep Bangladesh localization under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-31,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for Bangla and English readiness?","Evidence-backed production readiness for Bangla and English readiness, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep Bangla and English readiness under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-32,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for Merchant Center readiness?","Evidence-backed production readiness for Merchant Center readiness, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep Merchant Center readiness under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-33,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for webhook readiness?","Evidence-backed production readiness for webhook readiness, preserving current visual design unless necessary.","Payment env variables exist, but no webhook route was found.",45,P1,medium,E043;E050,webhook route scan; src/app/api/admin/orders/[id]/payment-status/route.ts,Fix webhook readiness before launch or before enabling related feature.,S,medium,Launch risk remains around webhook readiness.,minor,no
CP-06-34,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for shipment tracking readiness?","Evidence-backed production readiness for shipment tracking readiness, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep shipment tracking readiness under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-35,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for fraud and moderation readiness?","Evidence-backed production readiness for fraud and moderation readiness, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep fraud and moderation readiness under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-36,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for cache and revalidation?","Evidence-backed production readiness for cache and revalidation, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep cache and revalidation under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-37,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for N+1 or bulk-fetch risk?","Evidence-backed production readiness for N+1 or bulk-fetch risk, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep N+1 or bulk-fetch risk under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-38,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for payment status integrity?","Evidence-backed production readiness for payment status integrity, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep payment status integrity under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-39,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for guest and buyer flow?","Evidence-backed production readiness for guest and buyer flow, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep guest and buyer flow under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-40,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for account privacy?","Evidence-backed production readiness for account privacy, preserving current visual design unless necessary.","Account order detail is owner-scoped, but public confirmation exposes PII by orderNumber.",35,P0,medium,E022;E023;E010,src/app/(store)/order/[orderNumber]/confirmation/page.tsx; src/app/(store)/account/orders/[id]/page.tsx; .gitignore / git ls-files .env,Fix account privacy before launch or before enabling related feature.,M,critical,Launch risk remains around account privacy.,minor,yes
CP-06-41,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for product SEO fields?","Evidence-backed production readiness for product SEO fields, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep product SEO fields under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-42,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for category taxonomy?","Evidence-backed production readiness for category taxonomy, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep category taxonomy under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-43,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for internal linking?","Evidence-backed production readiness for internal linking, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep internal linking under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-44,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for reviews and ratings?","Evidence-backed production readiness for reviews and ratings, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep reviews and ratings under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-45,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for returns and refunds?","Evidence-backed production readiness for returns and refunds, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep returns and refunds under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-46,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for deployment headers?","Evidence-backed production readiness for deployment headers, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep deployment headers under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-47,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for dependency deprecation?","Evidence-backed production readiness for dependency deprecation, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep dependency deprecation under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-48,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for observability?","Evidence-backed production readiness for observability, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep observability under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-49,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for visual preservation?","Evidence-backed production readiness for visual preservation, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep visual preservation under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-06-50,"UI consistency, design system discipline, layout polish, and visual regression risk","Does UI consistency, design system discipline, layout polish, and visual regression risk meet the launch standard for launch risk?","Evidence-backed production readiness for launch risk, preserving current visual design unless necessary.",Visual source is componentized; screenshots not taken.,74,P2,medium,E015;E016;E045,src/app/(store)/page.tsx; src/app/(store)/products/[slug]/page.tsx; browser rendering/Core Web Vitals,Keep launch risk under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-01,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for route group coverage?","Evidence-backed production readiness for route group coverage, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep route group coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-02,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for API mutation coverage?","Evidence-backed production readiness for API mutation coverage, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep API mutation coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-03,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for RBAC enforcement?","Evidence-backed production readiness for RBAC enforcement, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep RBAC enforcement under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-04,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for authenticated data access?","Evidence-backed production readiness for authenticated data access, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep authenticated data access under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-05,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for schema support?","Evidence-backed production readiness for schema support, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep schema support under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-06,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for validation path?","Evidence-backed production readiness for validation path, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep validation path under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-07,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for error handling?","Evidence-backed production readiness for error handling, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep error handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-08,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for audit logging?","Evidence-backed production readiness for audit logging, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep audit logging under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-09,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for environment dependency?","Evidence-backed production readiness for environment dependency, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep environment dependency under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-10,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for command verification?","Evidence-backed production readiness for command verification, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep command verification under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-11,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for test coverage?","Evidence-backed production readiness for test coverage, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep test coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-12,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for data fetching strategy?","Evidence-backed production readiness for data fetching strategy, preserving current visual design unless necessary.",In-memory route limiter exists but is not distributed.,58,P1,low,E008,src/backend/security/rate-limit.ts,Fix data fetching strategy before launch or before enabling related feature.,S,medium,Launch risk remains around data fetching strategy.,minor,no
CP-07-13,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for image/media handling?","Evidence-backed production readiness for image/media handling, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep image/media handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-14,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for metadata and canonical handling?","Evidence-backed production readiness for metadata and canonical handling, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E011;E017;E018,src/backend/seo/metadata.ts; src/app/(store)/category/[slug]/page.tsx; src/app/(store)/search/page.tsx,Keep metadata and canonical handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-15,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for structured data handling?","Evidence-backed production readiness for structured data handling, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E014;E016;E017,src/backend/seo/structured-data.ts; src/app/(store)/products/[slug]/page.tsx; src/app/(store)/category/[slug]/page.tsx,Keep structured data handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-16,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for sitemap and robots handling?","Evidence-backed production readiness for sitemap and robots handling, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep sitemap and robots handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-17,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for pagination and facets?","Evidence-backed production readiness for pagination and facets, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep pagination and facets under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
CP-07-18,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for seller ownership?","Evidence-backed production readiness for seller ownership, preserving current visual design unless necessary.","Seller schema exists, but no seller route area was found and product writes are first-party/admin-managed.",45,P1,low,E031;E026;E003,src/app route scan and README.md; src/backend/admin/product-editor.ts; prisma/schema.prisma,Fix seller ownership before launch or before enabling related feature.,S,medium,Launch risk remains around seller ownership.,minor,no
CP-07-19,"Responsiveness across mobile, tablet, laptop, desktop, and low-end devices","Does Responsiveness across mobile, tablet, laptop, desktop, and low-end devices meet the launch standard for admin versus super-admin split?","Evidence-backed production readiness for admin versus super-admin split, preserving current visual design unless necessary.",Responsive classes exist; device behavior not browser-verified.,62,P2,low,E045;E054,browser rendering/Core Web Vitals; live buyer/seller/admin flows,Keep admin versus super-admin split under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,minor,no
